"Time (s) Run #1";"Temperature 1 (°C) Run #1";"Temperature 2 (°C) Run #1";"Temperature 3 (°C) Run #1";"Time (s) Run #2";"Temperature 1 (°C) Run #2";"Temperature 2 (°C) Run #2";"Temperature 3 (°C) Run #2"
9,050;73,78;75,26;72,53;9,050;77,23;80,70;77,36
9,100;73,77;75,26;72,53;9,100;77,24;80,70;77,36
9,150;73,77;75,25;72,53;9,150;77,23;80,70;77,35
9,200;73,77;75,26;72,53;9,200;77,23;80,70;77,35
9,250;73,77;75,25;72,53;9,250;77,23;80,70;77,35
9,300;73,77;75,25;72,53;9,300;77,23;80,70;77,35
9,350;73,77;75,25;72,53;9,350;77,23;80,69;77,35
9,400;73,77;75,25;72,53;9,400;77,23;80,69;77,35
9,450;73,77;75,25;72,53;9,450;77,23;80,70;77,34
9,500;73,77;75,25;72,52;9,500;77,23;80,69;77,34
9,550;73,77;75,25;72,52;9,550;77,23;80,69;77,34
9,600;73,77;75,25;72,52;9,600;77,23;80,69;77,34
9,650;73,76;75,25;72,52;9,650;77,23;80,69;77,33
9,700;73,77;75,25;72,52;9,700;77,22;80,69;77,34
9,750;73,76;75,24;72,52;9,750;77,23;80,69;77,33
9,800;73,77;75,24;72,52;9,800;77,22;80,69;77,33
9,850;73,76;75,24;72,52;9,850;77,23;80,68;77,33
9,900;73,76;75,24;72,52;9,900;77,23;80,68;77,33
9,950;73,76;75,24;72,52;9,950;77,22;80,68;77,33
10,000;73,76;75,24;72,52;10,000;77,22;80,68;77,33
10,050;73,76;75,24;72,52;10,050;77,22;80,68;77,32
10,100;73,76;75,24;72,51;10,100;77,22;80,68;77,32
10,150;73,76;75,24;72,51;10,150;77,22;80,68;77,32
10,200;73,75;75,24;72,51;10,200;77,22;80,68;77,32
10,250;73,76;75,24;72,51;10,250;77,22;80,68;77,32
10,300;73,76;75,24;72,51;10,300;77,22;80,67;77,32
10,350;73,75;75,23;72,51;10,350;77,22;80,68;77,31
10,400;73,75;75,23;72,51;10,400;77,22;80,67;77,31
10,450;73,75;75,23;72,51;10,450;77,22;80,67;77,31
10,500;73,75;75,23;72,51;10,500;77,22;80,67;77,31
10,550;73,75;75,23;72,51;10,550;77,22;80,67;77,31
10,600;73,75;75,23;72,51;10,600;77,22;80,67;77,31
10,650;73,75;75,23;72,51;10,650;77,21;80,67;77,30
10,700;73,75;75,22;72,51;10,700;77,21;80,67;77,30
10,750;73,75;75,23;72,50;10,750;77,21;80,67;77,30
10,800;73,75;75,22;72,51;10,800;77,21;80,67;77,30
10,850;73,75;75,22;72,50;10,850;77,21;80,67;77,30
10,900;73,75;75,22;72,51;10,900;77,21;80,67;77,30
10,950;73,74;75,22;72,51;10,950;77,21;80,67;77,30
11,000;73,75;75,22;72,50;11,000;77,21;80,66;77,30
11,050;73,74;75,22;72,50;11,050;77,21;80,66;77,30
11,100;73,74;75,22;72,50;11,100;77,21;80,66;77,29
11,150;73,74;75,22;72,50;11,150;77,21;80,66;77,30
11,200;73,75;75,21;72,50;11,200;77,21;80,66;77,29
11,250;73,74;75,22;72,50;11,250;77,21;80,66;77,29
11,300;73,74;75,21;72,50;11,300;77,21;80,66;77,29
11,350;73,74;75,21;72,49;11,350;77,20;80,66;77,29
11,400;73,74;75,21;72,50;11,400;77,21;80,66;77,29
11,450;73,74;75,21;72,50;11,450;77,20;80,66;77,28
11,500;73,74;75,21;72,49;11,500;77,20;80,66;77,28
11,550;73,74;75,21;72,49;11,550;77,20;80,66;77,28
11,600;73,74;75,20;72,49;11,600;77,20;80,66;77,28
11,650;73,74;75,21;72,49;11,650;77,20;80,66;77,28
11,700;73,74;75,20;72,49;11,700;77,20;80,65;77,28
11,750;73,73;75,21;72,49;11,750;77,20;80,65;77,28
11,800;73,74;75,20;72,49;11,800;77,20;80,66;77,27
11,850;73,73;75,21;72,49;11,850;77,20;80,65;77,28
11,900;73,73;75,20;72,49;11,900;77,20;80,65;77,28
11,950;73,73;75,20;72,49;11,950;77,20;80,65;77,27
12,000;73,73;75,20;72,49;12,000;77,20;80,65;77,28
12,050;73,73;75,20;72,49;12,050;77,20;80,65;77,27
12,100;73,73;75,19;72,48;12,100;77,20;80,65;77,27
12,150;73,73;75,19;72,48;12,150;77,19;80,65;77,27
12,200;73,73;75,20;72,48;12,200;77,19;80,65;77,27
