"Time (s) Run #1";"Temperature 1 (°C) Run #1";"Temperature 2 (°C) Run #1";"Temperature 3 (°C) Run #1";"Time (s) Run #2";"Temperature 1 (°C) Run #2";"Temperature 2 (°C) Run #2";"Temperature 3 (°C) Run #2";"Time (s) Run #3";"Temperature 1 (°C) Run #3";"Temperature 2 (°C) Run #3";"Temperature 3 (°C) Run #3"
8,900;71,97;75,26;74,27;8,900;55,95;55,85;55,64;8,900;86,10;85,60;84,81
8,950;71,99;75,26;74,27;8,950;55,95;55,85;55,64;8,950;86,10;85,60;84,81
9,000;72,00;75,26;74,27;9,000;55,96;55,85;55,65;9,000;86,09;85,60;84,81
9,050;72,02;75,26;74,27;9,050;55,96;55,85;55,65;9,050;86,10;85,60;84,80
9,100;72,03;75,25;74,27;9,100;55,96;55,86;55,65;9,100;86,09;85,60;84,80
9,150;72,05;75,25;74,27;9,150;55,97;55,86;55,65;9,150;86,09;85,60;84,80
9,200;72,06;75,25;74,27;9,200;55,97;55,86;55,66;9,200;86,09;85,60;84,80
9,250;72,08;75,25;74,27;9,250;55,98;55,86;55,66;9,250;86,09;85,60;84,80
9,300;72,09;75,25;74,27;9,300;55,98;55,86;55,66;9,300;86,09;85,60;84,80
9,350;72,10;75,25;74,27;9,350;55,98;55,87;55,67;9,350;86,09;85,59;84,80
9,400;72,12;75,24;74,27;9,400;55,99;55,87;55,67;9,400;86,09;85,60;84,80
9,450;72,13;75,24;74,27;9,450;55,99;55,87;55,68;9,450;86,08;85,60;84,80
9,500;72,14;75,24;74,27;9,500;56,00;55,87;55,68;9,500;86,08;85,60;84,79
9,550;72,16;75,24;74,27;9,550;56,00;55,88;55,68;9,550;86,08;85,60;84,79
9,600;72,17;75,24;74,27;9,600;56,00;55,88;55,69;9,600;86,08;85,59;84,79
9,650;72,18;75,24;74,27;9,650;56,00;55,88;55,68;9,650;86,08;85,59;84,79
9,700;72,19;75,24;74,27;9,700;56,01;55,88;55,69;9,700;86,08;85,59;84,79
