"Time (s) Run #1";"Temperature 1 (°C) Run #1";"Temperature 2 (°C) Run #1";"Temperature 3 (°C) Run #1"
12,900;75,34;76,57;79,48
12,950;75,34;76,57;79,48
13,000;75,34;76,56;79,48
13,050;75,34;76,56;79,47
13,100;75,33;76,56;79,47
13,150;75,33;76,56;79,48
13,200;75,33;76,56;79,47
13,250;75,33;76,56;79,47
13,300;75,32;76,56;79,47
13,350;75,32;76,56;79,47
13,400;75,32;76,55;79,47
13,450;75,32;76,55;79,47
13,500;75,32;76,55;79,47
13,550;75,32;76,54;79,47
13,600;75,31;76,54;79,47
13,650;75,31;76,54;79,47
13,700;75,31;76,54;79,47
13,750;75,30;76,54;79,47
13,800;75,30;76,54;79,47
13,850;75,30;76,54;79,47
13,900;75,30;76,53;79,47
13,950;75,29;76,53;79,47
14,000;75,29;76,53;79,47
14,050;75,29;76,53;79,47
14,100;75,29;76,53;79,47
14,150;75,29;76,53;79,47
14,200;75,29;76,52;79,46
14,250;75,29;76,52;79,46
14,300;75,28;76,52;79,47
14,350;75,28;76,52;79,46
14,400;75,28;76,52;79,46
14,450;75,28;76,52;79,47
14,500;75,28;76,52;79,46
14,550;75,27;76,52;79,46
14,600;75,27;76,51;79,46
14,650;75,27;76,51;79,46
14,700;75,27;76,51;79,46
14,750;75,27;76,51;79,46
14,800;75,26;76,51;79,46
14,850;75,26;76,51;79,46
14,900;75,26;76,51;79,46
14,950;75,26;76,50;79,46
15,000;75,26;76,50;79,46
15,050;75,26;76,50;79,46
15,100;75,26;76,50;79,46
15,150;75,25;76,50;79,46
15,200;75,25;76,49;79,46
15,250;75,25;76,49;79,46
15,300;75,25;76,49;79,46
15,350;75,25;76,49;79,46
15,400;75,24;76,49;79,46
15,450;75,24;76,49;79,46
15,500;75,24;76,49;79,46
15,550;75,24;76,49;79,46
15,600;75,24;76,48;79,46
15,650;75,24;76,48;79,46
15,700;75,24;76,48;79,46
15,750;75,24;76,48;79,46
15,800;75,23;76,47;79,46
15,850;75,23;76,48;79,46
15,900;75,23;76,47;79,46
15,950;75,23;76,47;79,45
16,000;75,23;76,47;79,46
16,050;75,23;76,47;79,46
16,100;75,22;76,47;79,46
16,150;75,22;76,47;79,46
16,200;75,22;76,46;79,46
16,250;75,22;76,46;79,46
16,300;75,22;76,46;79,46
16,350;75,22;76,46;79,47
16,400;75,22;76,46;79,46
16,450;75,22;76,46;79,46
16,500;75,22;76,46;79,46
16,550;75,22;76,46;79,46
16,600;75,22;76,45;79,46
16,650;75,21;76,45;79,46
