"Time (s) Run #2";"Temperature 1 (°C) Run #2";"Temperature 2 (°C) Run #2";"Temperature 3 (°C) Run #2";"Time (s) Run #3";"Temperature 1 (°C) Run #3";"Temperature 2 (°C) Run #3";"Temperature 3 (°C) Run #3"
13,200;80,14;80,48;79,18;13,200;80,91;78,88;77,83
13,250;80,12;80,47;79,18;13,250;80,91;78,87;77,83
13,300;80,11;80,48;79,18;13,300;80,90;78,87;77,83
13,350;80,09;80,48;79,17;13,350;80,90;78,87;77,83
13,400;80,08;80,48;79,17;13,400;80,90;78,87;77,83
13,450;80,06;80,48;79,16;13,450;80,89;78,88;77,83
13,500;80,05;80,48;79,17;13,500;80,89;78,88;77,83
13,550;80,04;80,48;79,16;13,550;80,89;78,88;77,83
13,600;80,02;80,47;79,16;13,600;80,88;78,87;77,83
13,650;80,01;80,48;79,16;13,650;80,88;78,87;77,83
13,700;80,00;80,48;79,16;13,700;80,88;78,87;77,83
13,750;79,98;80,47;79,16;13,750;80,88;78,87;77,83
13,800;79,97;80,47;79,16;13,800;80,87;78,88;77,83
13,850;79,95;80,48;79,15;13,850;80,87;78,87;77,83
13,900;79,94;80,47;79,15;13,900;80,87;78,88;77,83
13,950;79,93;80,47;79,15;13,950;80,86;78,87;77,83
14,000;79,92;80,47;79,15;14,000;80,86;78,88;77,83
14,050;79,91;80,47;79,16;14,050;80,86;78,88;77,83
14,100;79,89;80,47;79,16;14,100;80,86;78,88;77,83
14,150;79,88;80,47;79,16;14,150;80,86;78,88;77,83
14,200;79,88;80,46;79,16;14,200;80,85;78,88;77,83
14,250;79,86;80,46;79,16;14,250;80,85;78,88;77,83
14,300;79,85;80,46;79,16;14,300;80,85;78,88;77,82
14,350;79,84;80,46;79,15;14,350;80,85;78,88;77,82
14,400;79,84;80,46;79,15;14,400;80,85;78,88;77,83
14,450;79,82;80,45;79,14;14,450;80,85;78,87;77,83
14,500;79,82;80,45;79,13;14,500;80,84;78,88;77,82
14,550;79,81;80,45;79,12;14,550;80,84;78,88;77,83
14,600;79,80;80,45;79,11;14,600;80,83;78,88;77,83
14,650;79,79;80,45;79,10;14,650;80,83;78,88;77,83
14,700;79,78;80,45;79,09;14,700;80,83;78,88;77,83
14,750;79,78;80,44;79,08;14,750;80,83;78,88;77,82
14,800;79,77;80,44;79,06;14,800;80,83;78,89;77,83
14,850;79,76;80,44;79,04;14,850;80,83;78,89;77,83
14,900;79,75;80,43;79,03;14,900;80,83;78,88;77,82
14,950;79,75;80,43;79,01;14,950;80,82;78,89;77,83
15,000;79,74;80,43;78,99;15,000;80,82;78,89;77,83
15,050;79,73;80,42;78,98;15,050;80,82;78,89;77,83
15,100;79,73;80,42;78,96;15,100;80,82;78,89;77,83
15,150;79,73;80,42;78,93;15,150;80,82;78,89;77,83
15,200;79,72;80,42;78,91;15,200;80,82;78,89;77,83
15,250;79,71;80,41;78,88;15,250;80,81;78,89;77,83
15,300;79,71;80,41;78,86;15,300;80,82;78,89;77,83
15,350;79,70;80,41;78,84;15,350;80,81;78,89;77,83
15,400;79,70;80,40;78,80;15,400;80,81;78,89;77,83
